Year,Consumption
2000-01-01,37957.822
2001-01-01,36545.825
2002-01-01,36644.708
2003-01-01,37074.37112999999
2004-01-01,39650.3
2005-01-01,40191.0
2006-01-01,42896.486999999994
2007-01-01,47668.719133404964
2008-01-01,51710.357
2009-01-01,56242.36685999999
2010-01-01,60071.1
2011-01-01,64750.0
2012-01-01,69079.90000000001
2013-01-01,68363.9
2014-01-01,69416.2
2015-01-01,74647.0
2016-01-01,76026.8
2017-01-01,81073.4364599997
2018-01-01,83528.20000000001
2019-01-01,82602.01250544729
2020-01-01,72712.726314284
2021-01-01,76658.71844233386
2022-01-01,85900.45337549114
2023-01-01,89626.17119073564
